base_space_name,base_page_title,match_space_name,match_page_title
Clinical Communications,West Phone System (Technical),Clinical Communications,West Phone System (Vendor)
Clinical Communications,West Phone System (Projects),Clinical Communications,West Phone System (Vendor)
Clinical Communications,LifeFlight Discharge Transportation Management (Projects),LifeFlight,LifeFlight Discharge Transport Management
Clinical Communications,LifeFlight Discharge Transportation Management (Support),LifeFlight,LifeFlight Discharge Transport Management
Clinical Communications,LifeFlight Discharge Transportation Management (Technical),LifeFlight,LifeFlight Discharge Transport Management
Clinical Communications,LifeFlight Discharge Transportation Management (Vendor),LifeFlight,LifeFlight Discharge Transport Management
Clinical Communications,LifeFlight Web Portal (Projects),LifeFlight,LifeFlight Web Portal SignalR
Clinical Communications,LifeFlight Web Portal (Support),LifeFlight,LifeFlight Web Portal SignalR
Clinical Communications,LifeFlight Web Portal (Technical),LifeFlight,LifeFlight Web Portal SignalR
Diane Steward,LifeFlight Web Portal Testing 5.7.0.462,LifeFlight,LifeFlight Web Portal SignalR
Diane Steward,LifeFlight Web Portal Testing 5.7.2.462,LifeFlight,LifeFlight Web Portal SignalR
Diane Steward,LifeFlight Web Portal Testing 5.8,LifeFlight,LifeFlight Web Portal SignalR
Diane Steward,LifeFlight Web Portal Testing 5.8.2.462,LifeFlight,LifeFlight Web Portal SignalR
Diane Steward,LifeFlight Web Portal Testing 5.9.0.462,LifeFlight,LifeFlight Web Portal SignalR
Diane Steward,LifeFlight Web Portal Testing 5.8.3,LifeFlight,LifeFlight Web Portal SignalR
Diane Steward,LifeFlight Web Portal Testing 2021.09.08,LifeFlight,LifeFlight Web Portal SignalR
Diane Steward,LifeFlight Web Portal Testing 2021.10.20,LifeFlight,LifeFlight Web Portal SignalR
Diane Steward,LifeFlight Web Portal Testing 2022.04.20,LifeFlight,LifeFlight Web Portal SignalR
Diane Steward,LifeFlight Web Portal Testing 2022.05.04,LifeFlight,LifeFlight Web Portal SignalR
Diane Steward,LifeFlight Web Portal Testing Domain Migration 2022.07.20,LifeFlight,LifeFlight Web Portal SignalR
LifeFlight,LifeFlight Web Portal,LifeFlight,LifeFlight Web Portal SignalR
LifeFlight,LifeFlight Web Portal Request,LifeFlight,LifeFlight Web Portal SignalR
Clinical Communications,FlightVector Upgrade v6.8,Clinical Communications,FlightVector Upgrade v6.9.1.2e
Clinical Communications,FlightVector Upgrade 6.8.1.1,Clinical Communications,FlightVector Upgrade v6.9.1.2e
Clinical Communications,Implement DMO for Tullahoma-Harton,Clinical Communications,Implement DMO for Wilson County
Clinical Communications,Implement DMO for Bedford County,Clinical Communications,Implement DMO for Wilson County
Clinical Communications,Clinical Communications,Clinical Communications,Clinical Communications PG Owned Hardware
Clinical Communications,FlightVector Architecture Diagram - PROD,Clinical Communications,FlightVector Architecture Diagram - TEST
Clinical Communications,R5 Architecture Diagram PROD,Clinical Communications,R5 Architecture Diagram TEST
Clinical Communications,EMSCharts Architecture Diagram PROD,Clinical Communications,EMSCharts Architecture Diagram TEST
Clinical Communications,Responder5 Projects,Clinical Communications,Responder5 Projects - VTHH
Clinical Communications,Responder5 Projects - Main Campus,Clinical Communications,Responder5 Projects - VTHH
Clinical Communications,Responder5 Projects - VHBM,Clinical Communications,Responder5 Projects - VTHH
Clinical Communications,Responder5 Projects - VWCH,Clinical Communications,Responder5 Projects - VTHH
Clinical Communications,Nuance DAX Pilot,Clinical Communications,Nuance DAX Pilot Implementation
Clinical Communications,Dragon Medical One (DMO),Clinical Communications,Dragon Medical One QA & Test Scenarios
Clinical Communications,Dragon Medical One DR - BIA,Clinical Communications,Dragon Medical One QA & Test Scenarios
Clinical Communications,Dragon Medical One Projects,Clinical Communications,Dragon Medical One QA & Test Scenarios
Clinical Communications,Dragon Medical One Architecture Diagram PROD,Clinical Communications,Dragon Medical One QA & Test Scenarios
Clinical Communications,Dragon Medical One ARB-Security Review,Clinical Communications,Dragon Medical One QA & Test Scenarios
Clinical Communications,Dragon Medical One Support,Clinical Communications,Dragon Medical One QA & Test Scenarios
Clinical Communications,Dragon Medical One Vendor Supplied Documents,Clinical Communications,Dragon Medical One QA & Test Scenarios
Clinical Communications,Dragon Medical One Contracts and Legal,Clinical Communications,Dragon Medical One QA & Test Scenarios
Clinical Communications,Dragon Medical One VDI Install steps,Clinical Communications,Dragon Medical One QA & Test Scenarios
Clinical Communications,EMSCharts Document Types,Clinical Communications,EMSCharts Document Not in Epic
Clinical Communications,NextGen Network Diagram PROD,Clinical Communications,NextGen Network Diagram TEST
Clinical Communications,Viking Quest EMG Replacement - 2021,Portfolio Services,Viking Quest EMG Replacement
Clinical Communications,RL6 Network Diagram - Prod,Clinical Communications,RL6 Network Diagram - Test
Clinical Communications,Version Upgrade to 6.16 - Fall 2021,Clinical Communications,Version Upgrade to 6.27 Winter 2023
Clinical Communications,Pillow Speaker Replacement Options,Clinical Communications,Pillow Speaker Replacement
Clinical Communications,HUGS Infant Security,Clinical Communications,HUGS Infant Security-VWCH
Clinical Communications,HUGS Infant Security - VTHH,Clinical Communications,HUGS Infant Security-VWCH
Clinical Communications,Proposed Solution for Units that want to change bed labels on the fly,"McKay, Robert",Proposed Solution
Clinical Communications,MHB: Implement for VTHH,Clinical Communications,MHB: Implement for VBCH
Clinical Communications,MHB: Implement for VWCH,Clinical Communications,MHB: Implement for VBCH
Clinical Communications,Hugs Client Install - Authentication Client,Clinical Communications,Hugs Client Install - Instant Notifier
Clinical Communications,Call Escalation Patterns,Clinical Communications,Call Escalation Patterns VTHH
Clinical Communications,DMNE Network Diagram - Prod,Clinical Communications,DMNE Network Diagram - Test
Clinical Communications,Dummy Plug Request,Clinical Communications,Dummy Plug Request (VHBM)
Clinical Communications,Digi Pager Troubleshooting,Clinical Communications,Digi Pager Troubleshooting VHBM
Clinical Communications,Restarting R5's ADT Service,Clinical Communications,Restarting R5's ADT Service - VHBM
Clinical Communications,Calls to Console (Downtime Procedure),Clinical Communications,Calls to Console Procedure
Clinical Communications,VHBM - R5 Architecture Diagram Prod,Clinical Communications,VHBM - R5 Architecture Diagram Test
Clinical Communications,New MTSOA/eSOne Test Diagram,Clinical Communications,New MTSOA/eSOne Prod Diagram
Clinical Communications,Responder5 - VTHH,Clinical Communications,Responder5 - VTHH Support
Clinical Communications,New (2022) Diagram PROD,Clinical Communications,New (2022) Diagram TEST
Clinical Communications,Responder 5 Enterprise,Clinical Communications,Responder 5 Enterprise (Projects)
Clinical Communications,Meeting Minutes - HUGS Upgrade 5.5.6,VUMC ADI - Projects,Meeting Minutes : Oct 30 2015
Clinical Communications,Meeting Minutes - Toxicall Migration vumc.io,VUMC ADI - Projects,Meeting Minutes : Oct 30 2015
Clinical Communications,Meeting Minutes - Crescendo/EVV Implementation,VUMC ADI - Projects,Meeting Minutes : Oct 30 2015
Clinical Systems 2.0 Program Management,Meeting Minutes - PMO Status Meeting,VUMC ADI - Projects,Meeting Minutes : Oct 30 2015
Clinical Systems 2.0 Program Management,Meeting Minutes - PMO Internal Team Meeting,VUMC ADI - Projects,Meeting Minutes : Oct 30 2015
Clinical Systems 2.0 Research,Meeting Minutes EL,VUMC ADI - Projects,Meeting Minutes : Oct 30 2015
MyHealthatVanderbilt 3.0,Meeting Minutes - Hospital Based Teleconsults,VUMC ADI - Projects,Meeting Minutes : Oct 30 2015
VUMC ADI - Projects,Meeting Minutes for Email Separation IDM Impacts,VUMC ADI - Projects,Meeting Minutes : Oct 30 2015
VUMC ADI - Projects,Meeting Minutes 02/12/2015,VUMC ADI - Projects,Meeting Minutes : Oct 30 2015
VUMC ADI - Projects,Meeting Minutes Nov 6 2015,VUMC ADI - Projects,Meeting Minutes : Oct 30 2015
Clinical Communications,Firewall Rules for VTHH,Peri-Procedural Applications,Firewall Rules for Moxa & Workstations
Clinical Communications,DMO upgrade to 2023.2,Clinical Communications,DMO upgrade to 2025.3
Clinical Communications,DMO upgrade to 2023.4,Clinical Communications,DMO upgrade to 2025.3
Clinical Communications,DMO upgrade to 2023.4 Physical,Clinical Communications,DMO upgrade to 2025.3
Clinical Communications,DMO upgrade to 2024.3,Clinical Communications,DMO upgrade to 2025.3
Clinical Communications,MHB to eStar Paging 2023,Clinical Communications,MHB to eStar Paging 2023 Support and Configuration
Clinical Communications,HIPAA Assessment,Clinical Communications,HIPAA Assessment Workgroup 2023
Clinical Communications,Staff Assignment Audit,"Yarbrough, Josh",Staff Assignments
Clinical Communications,Monthly VDI Testing,Clinical Communications,Monthly VDI Testing for CCPG
Clinical Communications,User Management API Processes,VEC DS,User Management in Entra tenants
VEC DS,User Management in Entra tenant - vumcresource01.onmicrosoft.com,VEC DS,User Management in Entra tenants
Clinical Communications,Contact Information,Synergy,Contact Information: Participating Tables
Portfolio Services,Contact Information & Numbers,Synergy,Contact Information: Participating Tables
Clinical Communications,Contracts and Legal Documents,Clinical Communications,Contracts and Legal
Clinical Communications,Adding Users to Rosch,VUMC IT Hosting Services Dept,Adding Users to Posit Teams Users
ITSM,Adding Users to Tableau AD Group,VUMC IT Hosting Services Dept,Adding Users to Posit Teams Users
VEC DS,Adding Users to P1 Licensing Group,VUMC IT Hosting Services Dept,Adding Users to Posit Teams Users
Clinical Communications,Continuum Contracts/Legal Documents/Invoices and POs,Clinical Communications,Continuum Contract and Legal Documents
Clinical Communications,Custom Sound Suite Support,Portfolio Services,Custom Sound Suite Software Documentation located here:
Clinical Communications,Custom Sound Suite,Portfolio Services,Custom Sound Suite Software Documentation located here:
Clinical Communications,Custom Sound Suite Computers,Portfolio Services,Custom Sound Suite Software Documentation located here:
Clinical Communications,Custom Sound Suite Projects,Portfolio Services,Custom Sound Suite Software Documentation located here:
Portfolio Services,Custom Sound Suite (Support),Portfolio Services,Custom Sound Suite Software Documentation located here:
Portfolio Services,Custom Sound Suite (Technical),Portfolio Services,Custom Sound Suite Software Documentation located here:
Clinical Communications,Advanced Bionics (AB Express 2.0),Clinical Communications,Advanced Bionics HIPPA Assessments
Clinical Communications,Advanced Bionics Projects,Clinical Communications,Advanced Bionics HIPPA Assessments
Clinical Communications,B-Scan Diagnostic,Portfolio Services,B-Scan Diagnostics (Vendor)
Portfolio Services,B-Scan Diagnostics,Portfolio Services,B-Scan Diagnostics (Vendor)
Portfolio Services,B-Scan Diagnostics (Support),Portfolio Services,B-Scan Diagnostics (Vendor)
Portfolio Services,B-Scan Diagnostics (Technical),Portfolio Services,B-Scan Diagnostics (Vendor)
Portfolio Services,B-Scan Diagnostics (Projects),Portfolio Services,B-Scan Diagnostics (Vendor)
Clinical Communications,Timesheet Information Process Flow Diagram,Clinical Communications,Timesheet Information
Clinical Communications,Nucleus Smartnav 2.0,Clinical Communications,Nucleus Smartnav Support
Clinical Communications,Zeiss Forum (Enterprise),Clinical Communications,Zeiss Forum (Enterprise) Projects
Clinical Communications,Hippa Questionnaire for Dax,Clinical Communications,Hippa Questionnaire for DMO
Clinical Communications,VEI Murfreesboro Peds,Outpatient Whiteboard,VEI Murfreesboro
Clinical Decision Support (CDS) & Knowledge Engineering (KE),CDS Projects Group Meeting - Minutes 8.27.14,Clinical Decision Support (CDS) & Knowledge Engineering (KE),CDS Projects Group Meeting Minutes   - 9.10.2014
Clinical Decision Support (CDS) & Knowledge Engineering (KE),CDS Projects Group Meeting Minutes  - 9.3.2014,Clinical Decision Support (CDS) & Knowledge Engineering (KE),CDS Projects Group Meeting Minutes   - 9.10.2014
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Pulmonary Nodule Project Architecture,OAS Release Notes,Pulmonary Nodule NLP
Clinical Decision Support (CDS) & Knowledge Engineering (KE),ARCHIVED: Immunization Content Management and CDS,Clinical Decision Support (CDS) & Knowledge Engineering (KE),ARCHIVED: Immunization Knowledge Base
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Content Management,eStar EDI Bridges,Content Management for AIP
Patient Engagement App,Content Management,eStar EDI Bridges,Content Management for AIP
Clinical Decision Support (CDS) & Knowledge Engineering (KE),BE_IQMaple_Rules,OAS Release Notes,BE_IQMaple_Rules - 1.2.12 - Decommission
OAS Release Notes,BE_IQMaple_Rules - 1.0.0,OAS Release Notes,BE_IQMaple_Rules - 1.2.12 - Decommission
OAS Release Notes,BE_IQMaple_Rules - 1.0.1,OAS Release Notes,BE_IQMaple_Rules - 1.2.12 - Decommission
OAS Release Notes,BE_IQMaple_Rules - 1.1.0,OAS Release Notes,BE_IQMaple_Rules - 1.2.12 - Decommission
OAS Release Notes,BE_IQMaple_Rules - 1.1.1,OAS Release Notes,BE_IQMaple_Rules - 1.2.12 - Decommission
OAS Release Notes,BE_IQMaple_Rules - 1.2.2,OAS Release Notes,BE_IQMaple_Rules - 1.2.12 - Decommission
OAS Release Notes,BE_IQMaple_Rules - 1.2.5,OAS Release Notes,BE_IQMaple_Rules - 1.2.12 - Decommission
OAS Release Notes,BE_IQMaple_Rules - 1.2.8,OAS Release Notes,BE_IQMaple_Rules - 1.2.12 - Decommission
OAS Release Notes,BE_IQMaple_Rules - 1.2.10,OAS Release Notes,BE_IQMaple_Rules - 1.2.12 - Decommission
OAS Release Notes,BE_IQMaple_Rules - 1.2.11,OAS Release Notes,BE_IQMaple_Rules - 1.2.12 - Decommission
OAS Release Notes,BE_IQMaple_Rules - 1.2.12,OAS Release Notes,BE_IQMaple_Rules - 1.2.12 - Decommission
Clinical Decision Support (CDS) & Knowledge Engineering (KE),BW_AD_IQMaple_Conclusion_Update,OAS Release Notes,BW_AD_IQMaple_Conclusion_Update - Decommission
OAS Release Notes,BW_AD_IQMaple_Conclusion_Update-1.0.0,OAS Release Notes,BW_AD_IQMaple_Conclusion_Update - Decommission
OAS Release Notes,BW_AD_IQMaple_Conclusion_Update-1.0.1,OAS Release Notes,BW_AD_IQMaple_Conclusion_Update - Decommission
Clinical Decision Support (CDS) & Knowledge Engineering (KE),BW_AD_IQMaple_CDS_Response_Update,OAS Release Notes,BW_AD_IQMaple_CDS_Response_Update - Decommission
OAS Release Notes,BW_AD_IQMaple_CDS_Response_Update - 1.0.0,OAS Release Notes,BW_AD_IQMaple_CDS_Response_Update - Decommission
OAS Release Notes,BW_AD_IQMaple_CDS_Response_Update - 1.0.1,OAS Release Notes,BW_AD_IQMaple_CDS_Response_Update - Decommission
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Blood Transfusion ordering,Product Development-Predictive CDS Implementations ,Blood Transfusion-Deploy Liquibase
Product Development-Predictive CDS Implementations ,Blood Transfusion Silent Mode,Product Development-Predictive CDS Implementations ,Blood Transfusion-Deploy Liquibase
Product Development-Predictive CDS Implementations ,Blood Transfusion Post Production Fixes,Product Development-Predictive CDS Implementations ,Blood Transfusion-Deploy Liquibase
Product Development-Predictive CDS Implementations ,Blood Transfusion,Product Development-Predictive CDS Implementations ,Blood Transfusion-Deploy Liquibase
Product Development-Predictive CDS Implementations ,Blood Transfusion Updates,Product Development-Predictive CDS Implementations ,Blood Transfusion-Deploy Liquibase
Product Development-Predictive CDS Implementations ,Blood Transfusion Surgery Schedule and retrieve hemoglobin  via FHIR,Product Development-Predictive CDS Implementations ,Blood Transfusion-Deploy Liquibase
Product Development-Predictive CDS Implementations ,Blood Transfusion - remove location filter,Product Development-Predictive CDS Implementations ,Blood Transfusion-Deploy Liquibase
Product Development-Predictive CDS Implementations ,Blood Transfusion - ignore if no CPT code,Product Development-Predictive CDS Implementations ,Blood Transfusion-Deploy Liquibase
Product Development-Predictive CDS Implementations ,Blood Transfusion (Update the version of vumc-starter-fhir and vumc-starter-fhir-auth-background),Product Development-Predictive CDS Implementations ,Blood Transfusion-Deploy Liquibase
Product Development-Predictive CDS Implementations ,Blood Transfusion CPT code update,Product Development-Predictive CDS Implementations ,Blood Transfusion-Deploy Liquibase
Product Development-Predictive CDS Implementations ,Blood Transfusion: Updates 25Q3,Product Development-Predictive CDS Implementations ,Blood Transfusion-Deploy Liquibase
Product Development-Predictive CDS Implementations ,Blood Transfusion:Update SIU bridge,Product Development-Predictive CDS Implementations ,Blood Transfusion-Deploy Liquibase
Product Development-Predictive CDS Implementations ,Blood Transfusion: Flowsheet Update 25Q3,Product Development-Predictive CDS Implementations ,Blood Transfusion-Deploy Liquibase
Product Development-Predictive CDS Implementations ,Blood Transfusion - 25Q3,Product Development-Predictive CDS Implementations ,Blood Transfusion-Deploy Liquibase
Clinical Decision Support (CDS) & Knowledge Engineering (KE),BW_AD_PSS_Update (Per IQMaple project),Patient Summary Project,BW_AD_PSS_Update
OAS Release Notes,BW_AD_PSS_Update - 1.0.0,Patient Summary Project,BW_AD_PSS_Update
OAS Release Notes,BW_AD_PSS_Update - 1.0.1,Patient Summary Project,BW_AD_PSS_Update
OAS Release Notes,BW_AD_PSS_Update - 1.0.2,Patient Summary Project,BW_AD_PSS_Update
OAS Release Notes,BW_AD_PSS_Update - 1.0.3,Patient Summary Project,BW_AD_PSS_Update
OAS Release Notes,BW_AD_PSS_Update - 1.0.4,Patient Summary Project,BW_AD_PSS_Update
OAS Release Notes,BW_AD_PSS_Update - 1.0.5,Patient Summary Project,BW_AD_PSS_Update
OAS Release Notes,BW_AD_PSS_Update - 1.0.6,Patient Summary Project,BW_AD_PSS_Update
OAS Release Notes,BW_AD_PSS_Update - 1.0.7,Patient Summary Project,BW_AD_PSS_Update
OAS Release Notes,BW_AD_PSS_Update - 1.0.8,Patient Summary Project,BW_AD_PSS_Update
OAS Release Notes,BW_AD_PSS_Update - 1.0.9,Patient Summary Project,BW_AD_PSS_Update
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Immunization Content Work Group Meetings,Clinical Decision Support (CDS) & Knowledge Engineering (KE),Immunization Content
Clinical Decision Support (CDS) & Knowledge Engineering (KE),ARCHIVED: Prescription Renewal Protocols,Clinical Decision Support (CDS) & Knowledge Engineering (KE),ARCHIVED: Prescription Renewal Protocols Report
Clinical Decision Support (CDS) & Knowledge Engineering (KE),ARCHIVED: COMET (Knowledge Management) Roadmap Meetings,Clinical Decision Support (CDS) & Knowledge Engineering (KE),ARCHIVED: COMET Projects
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Cornelius Readmission Risk-eStar Go Live,Strategic CDS & KE,Cornelius Readmission Risk
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Cornelius Readmission Risk - Initial requirements documentation,Strategic CDS & KE,Cornelius Readmission Risk
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Cornelius Readmission Risk - Concepts and Definitions,Strategic CDS & KE,Cornelius Readmission Risk
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Cornelius Readmission Risk - Workflows Triggering Surveillance,Strategic CDS & KE,Cornelius Readmission Risk
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Cornelius Readmission Risk - Revisions post go-live,Strategic CDS & KE,Cornelius Readmission Risk
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Cornelius Readmission Risk - Related files,Strategic CDS & KE,Cornelius Readmission Risk
Custom CDS (Clinical Decision Support),Cornelius Readmission Risk - Initial requirements documentation,Strategic CDS & KE,Cornelius Readmission Risk
Custom CDS (Clinical Decision Support),Cornelius Readmission Risk - Concepts and Definitions,Strategic CDS & KE,Cornelius Readmission Risk
Custom CDS (Clinical Decision Support),Cornelius Readmission Risk - Workflows Triggering Surveillance,Strategic CDS & KE,Cornelius Readmission Risk
Custom CDS (Clinical Decision Support),Cornelius Readmission Risk - Revisions post go-live,Strategic CDS & KE,Cornelius Readmission Risk
Custom CDS (Clinical Decision Support),Cornelius Readmission Risk - Related files,Strategic CDS & KE,Cornelius Readmission Risk
Custom CDS (Clinical Decision Support),Cornelius Readmission Risk Errors and Validation,Strategic CDS & KE,Cornelius Readmission Risk
Custom CDS (Clinical Decision Support),Cornelius Readmission Predictive Model Background,Strategic CDS & KE,Cornelius Readmission Risk
ITSM,Cornelius Readmission Risk Project,Strategic CDS & KE,Cornelius Readmission Risk
Product Development-Predictive CDS Implementations ,Cornelius Readmission Risk 2.0: Flowsheet Update,Strategic CDS & KE,Cornelius Readmission Risk
Product Development-Predictive CDS Implementations ,Cornelius Readmission Risk-Update for OpenShift adapters,Strategic CDS & KE,Cornelius Readmission Risk
Strategic CDS & KE,Cornelius Readmission Risk Score Implementation in eStar,Strategic CDS & KE,Cornelius Readmission Risk
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Readmission Risk Meeting Notes,TIBCO,Readmission Risk CDS - Oracle Migration
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Readmission Risk Architecture,TIBCO,Readmission Risk CDS - Oracle Migration
Custom CDS (Clinical Decision Support),Readmission Risk,TIBCO,Readmission Risk CDS - Oracle Migration
Custom CDS (Clinical Decision Support),Readmission Risk Architecture,TIBCO,Readmission Risk CDS - Oracle Migration
Custom CDS (Clinical Decision Support),Readmission Risk: Updated Test Cases for Citrus POC,TIBCO,Readmission Risk CDS - Oracle Migration
Custom CDS (Clinical Decision Support),Readmission Risk Testing Dashboard,TIBCO,Readmission Risk CDS - Oracle Migration
Custom CDS (Clinical Decision Support),Readmission Risk Test Plan: Tier 1,TIBCO,Readmission Risk CDS - Oracle Migration
Custom CDS (Clinical Decision Support),Readmission Risk Test Plan: Tier 2,TIBCO,Readmission Risk CDS - Oracle Migration
Custom CDS (Clinical Decision Support),Readmission Risk Test Plan: Tier 3,TIBCO,Readmission Risk CDS - Oracle Migration
Custom CDS (Clinical Decision Support),Readmission Risk and Post-Acute Care,TIBCO,Readmission Risk CDS - Oracle Migration
OAS Release Notes,Readmission Risk CDS,TIBCO,Readmission Risk CDS - Oracle Migration
OAS Release Notes,Readmission Risk Release Plan,TIBCO,Readmission Risk CDS - Oracle Migration
Product Development-Predictive CDS Implementations ,Readmission Risk Scoring Fix,TIBCO,Readmission Risk CDS - Oracle Migration
Product Development-Predictive CDS Implementations ,Readmission Risk Prior Admissions Fix,TIBCO,Readmission Risk CDS - Oracle Migration
Product Development-Predictive CDS Implementations ,Readmission Risk 2.0 score multiply by 100,TIBCO,Readmission Risk CDS - Oracle Migration
Product Development-Predictive CDS Implementations ,Readmission Risk make max row count configurable,TIBCO,Readmission Risk CDS - Oracle Migration
Product Development-Predictive CDS Implementations ,Readmission Risk CDS OpenShift Initial Deployment,TIBCO,Readmission Risk CDS - Oracle Migration
TIBCO,Readmission Risk / Project Cornelius,TIBCO,Readmission Risk CDS - Oracle Migration
Clinical Decision Support (CDS) & Knowledge Engineering (KE),PREDICT-Warfarin (e-Star)-AGL Documentation,Clinical Decision Support (CDS) & Knowledge Engineering (KE),PREDICT-Warfarin
Clinical Decision Support (CDS) & Knowledge Engineering (KE),PREDICT Warfarin Meeting notes,OAS Release Notes,PREDICT Warfarin
Clinical Decision Support (CDS) & Knowledge Engineering (KE),PREDICT Warfarin (e-Star),OAS Release Notes,PREDICT Warfarin
Epic HQ,PREDICT Warfarin Dosing,OAS Release Notes,PREDICT Warfarin
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Initial Draft: PREDICT Reporting Requirements (Warfarin),Clinical Decision Support (CDS) & Knowledge Engineering (KE),"Initial Draft: PREDICT Reporting Requirements (Tacrolimus, Thiopurine, Clopidogrel, Simvastatin)"
Clinical Decision Support (CDS) & Knowledge Engineering (KE),TIBCO Documentation,TIBCO,TIBCO Documentation Requirements
Clinical Decision Support (CDS) & Knowledge Engineering (KE),CDS Reporting & Monitoring,Clinical Decision Support (CDS) & Knowledge Engineering (KE),CDS Reporting & Monitoring Documents
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Peds Pneumonia Prediction Project,Strategic CDS & KE,Peds Pneumonia Prognostic Tool Deployments
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Peds Pneumonia Prediction Project documents,Strategic CDS & KE,Peds Pneumonia Prognostic Tool Deployments
Strategic CDS & KE,Peds Pneumonia Predictive Model,Strategic CDS & KE,Peds Pneumonia Prognostic Tool Deployments
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Identification of Pneumonia,QSRP Analytics Team Wiki,Identification of VUMC and VWCH Hospitals
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Warfarin Dosing Table,Ted Slusser,Warfarin Dosing Calculator GAGE Updates
Product Development-Predictive CDS Implementations ,Warfarin Dosing Calculator Rewrite,Ted Slusser,Warfarin Dosing Calculator GAGE Updates
Product Development-Predictive CDS Implementations ,Warfarin Dosing Calculator (Logs additions),Ted Slusser,Warfarin Dosing Calculator GAGE Updates
Product Development-Predictive CDS Implementations ,Warfarin Dosing Calculator (Updating the Logs),Ted Slusser,Warfarin Dosing Calculator GAGE Updates
Product Development-Predictive CDS Implementations ,Warfarin Dosing Calc Gage Algorithm,Ted Slusser,Warfarin Dosing Calculator GAGE Updates
Clinical Decision Support (CDS) & Knowledge Engineering (KE),ARCHIVED: GetSmart Metadata,Clinical Decision Support (CDS) & Knowledge Engineering (KE),ARCHIVED: GetSmart: Order set process
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Genomic Indicator Overview--This is historical use only. Not updated,Strategic CDS & KE,Genomic Indicator Security Build
Strategic CDS & KE,Genomic Indicator Update Logic,Strategic CDS & KE,Genomic Indicator Security Build
Strategic CDS & KE,Genomic Indicators,Strategic CDS & KE,Genomic Indicator Security Build
Strategic CDS & KE,Genomic Indicator Overview,Strategic CDS & KE,Genomic Indicator Security Build
Clinical Decision Support (CDS) & Knowledge Engineering (KE),ARCHIVED:  GetSmart: Pros and Cons,Clinical Decision Support (CDS) & Knowledge Engineering (KE),ARCHIVED:  GetSmart: Definitions
Clinical Decision Support (CDS) & Knowledge Engineering (KE),2018-04-24 Meeting notes,MI2 Laboratory,2018-04-24 Meeting notes Test3
MI2 Laboratory,2018-04-24 Meeting notes2,MI2 Laboratory,2018-04-24 Meeting notes Test3
Clinical Decision Support (CDS) & Knowledge Engineering (KE),2018-05-29 Meeting notes,Custom CDS (Clinical Decision Support),2018-05-29 Meeting notes - Suicide Risk
Clinical Decision Support (CDS) & Knowledge Engineering (KE),CDS Monitor Rules Architecture,Custom CDS (Clinical Decision Support),CDS Monitor Rules Architecture - deprecated and undeployed
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Knowledge Engineering Products,Strategic CDS & KE,Knowledge Engineering (KE)
Strategic CDS & KE,Knowledge Engineering definitions,Strategic CDS & KE,Knowledge Engineering (KE)
Strategic CDS & KE,Knowledge Engineering,Strategic CDS & KE,Knowledge Engineering (KE)
Clinical Decision Support (CDS) & Knowledge Engineering (KE),"(2018-2019)Inpatient-Adults (VUH, VBH)",Clinical Decision Support (CDS) & Knowledge Engineering (KE),"(2018-2019)Inpatient-Pediatrics (VUH, VBH)"
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Training Session #1,Clinical Decision Support (CDS) & Knowledge Engineering (KE),Training Sessions
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Training Session #2,Clinical Decision Support (CDS) & Knowledge Engineering (KE),Training Sessions
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Training Session #3,Clinical Decision Support (CDS) & Knowledge Engineering (KE),Training Sessions
Clinical Decision Support (CDS) & Knowledge Engineering (KE),Training Session #4,Clinical Decision Support (CDS) & Knowledge Engineering (KE),Training Sessions
Clinical Decision Support (CDS) & Knowledge Engineering (KE),VTE Prophylaxis Architecture (first proposal-rejected),eStar (Clinical Decision Support),"VTE Prophylaxis 2022 (Adult Surgery-General, GI Lap,  )"
Clinical Decision Support (CDS) & Knowledge Engineering (KE),VTE Prophylaxis Intervention 2019(Adult Medicine),eStar (Clinical Decision Support),"VTE Prophylaxis 2022 (Adult Surgery-General, GI Lap,  )"
Clinical Decision Support (CDS) & Knowledge Engineering (KE),VTE Prophylaxis Intervention (Pediatrics),eStar (Clinical Decision Support),"VTE Prophylaxis 2022 (Adult Surgery-General, GI Lap,  )"
